;brouette;;;;;;;brouette (1);;;;;;;brouette (2);;;;;;
;TX;TY;TZ;RX;RY;RZ;Valid;TX;TY;TZ;RX;RY;RZ;Valid;TX;TY;TZ;RX;RY;RZ;Valid
1,586000;-61,823830;102,574959;2280,856445;3,562231;1,668257;5,630285;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1,621000;-61,821140;102,576126;2280,884521;3,619915;1,674379;5,634153;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1,655000;-61,822372;102,572548;2280,881104;3,621425;1,618980;5,652418;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1,690000;-61,822086;102,574417;2280,884277;3,713261;1,633355;5,646894;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1,724000;-61,821545;102,575645;2280,898438;3,706484;1,680852;5,637473;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1,759000;-61,823330;102,573090;2280,864990;3,697157;1,607116;5,638658;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1,793000;-61,824093;102,575981;2280,880127;3,655198;1,676555;5,659227;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1,828000;-61,824673;102,573090;2280,889160;3,663342;1,662209;5,638710;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1,862000;-61,821629;102,575935;2280,873047;3,671211;1,651513;5,645178;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1,897000;-61,819584;102,572952;2280,876465;3,648127;1,718454;5,643420;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1,931000;-61,825184;102,574409;2280,875488;3,643530;1,643130;5,650911;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1,966000;-61,822838;102,573883;2280,874023;3,595149;1,581982;5,640640;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2,000000;-61,819588;102,570381;2280,871582;3,574182;1,661881;5,633593;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2,034000;-61,821426;102,575294;2280,866943;3,669228;1,712429;5,643045;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2,069000;-61,826321;102,577637;2280,870605;3,667859;1,644817;5,651108;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2,103000;-61,823498;102,574562;2280,865479;3,689451;1,674826;5,636539;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2,138000;-61,820412;102,575806;2280,864502;3,597399;1,650963;5,647711;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2,172000;-61,821873;102,574715;2280,868164;3,711414;1,591269;5,648703;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2,207000;-61,824562;102,578362;2280,861572;3,707439;1,605074;5,644274;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2,241000;-61,822338;102,571556;2280,864990;3,566489;1,685185;5,635996;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
